roundId,investor
round_139,Individual investors
round_140,Stellaris Venture Partners and Kalaari Capital
round_140,Rajan Anandan from Google
round_140,"Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India"
round_141,Lakestar and Jungle Ventures
round_141,Softbank\\xe2\\x80\\x99s DeepCore.
round_142,Paragon Partners
round_142,Individual Investors
round_143,Bertelsmann India Investments
round_144,Prashant Jaiswal
round_145,Cooperative Oikocredit
round_145,Caspian and Hivos-Triodos Fund
round_146,Ravi Viswanathan
round_147,ZigExN
round_148,Credence Family Office
round_149,Sequoia Capital India
round_150,Fosun International
round_151,Sistema Asia Fund
round_151,Sistema JSFC and Tanncam Investment
round_152,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.
round_153,Falcon Edge
round_155,Korea Investment Partners (KIP)
round_155,Samsung and China-based CITIC Capital and others
round_156,Lighthouse
round_157,KDDI\\xc2\\xa0
round_158,Tencent
round_158,Kalaari Capital and Private equity firm Multiples Alternate Asset Management
round_159,Stellaris Ventures & Others
round_160,CLP Holdings Group
round_160,Innogy
round_160,"\\xc3\\x98rstead, and Tenaska"
round_161,InnoVen Capital
round_162,Shunwei Capital
round_162,Quotient
round_162,Mayfield & Others
round_163,Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund
round_163,Fosun RZ Capital
round_163,"Ventureast, and Endiya Partners.\\n\\n"
round_164,Farm To Fork
round_164,Arts Alliance
round_164,The Syndicate Fund
round_164,Sven Hensen
round_164,Zeroth and Artesian Venture Partners
round_165,Axilor
round_165,Sprout Venture Partners and others
round_166,Xiaomi and Sequoia Capital India
round_167,Y Combinator
round_169,Fung Strategic Holdings
round_170,MakeMyTrip Limited
round_171,Vertex Ventures
round_172,Sequoia Capital India Advisors
round_172,Accel Partners and G Raghunandan
round_173,Flipkart
round_174,Nexus Venture Partners
round_174,Prime Venture Partners and Others
round_175,AJ Ventures and Jain International Trade Organisation (JITO)
round_176,Ventureast
round_176,Orios Venture Partners and the IAN Fund
round_177,Nexus Venture Partners
round_177,MGV
round_177,Liquid 2 Ventures
round_177,Hack VC
round_177,Emergent Ventures and Y Combinator
round_179,Denlow Investment Trust and Beenext
round_181,Alteria Capital
round_182,CDC Group plc\\xc2\\xa0
round_183,Hyundai
round_183,Edelweiss and Beenext
round_183,Dream Incubator
round_183,Sunjay Kapoor and Telama Investment
round_184,Xiaomi
round_184,PayU
round_184,Ribbit Capital and Omidyar Network
round_185,Saama Capital
round_185,SRI Capital
round_185,"Beenext, and Pravega Ventures"
round_186,Nexus Venture Partners
