investor_a,investor_b,timesCoInvested
Mohan Alexander,R. Natarajan,1
Mohan Alexander,Vikrant Varshney,1
Amit Sinha,Mohan Alexander,1
R. Natarajan,Vikrant Varshney,1
Amit Sinha,R. Natarajan,1
Amit Sinha,Vikrant Varshney,1
Nirmal Singh,Pawan Borle,1
Manish Prasad,Pawan Borle,1
Pawan Borle,Vineet Varma,1
Nick Haulkoury,Pawan Borle,1
Abhai S. Rao,Pawan Borle,1
Manish Prasad,Nirmal Singh,1
Nirmal Singh,Vineet Varma,1
Nick Haulkoury,Nirmal Singh,1
Abhai S. Rao,Nirmal Singh,1
Manish Prasad,Vineet Varma,1
Manish Prasad,Nick Haulkoury,1
Abhai S. Rao,Manish Prasad,1
Nick Haulkoury,Vineet Varma,1
Abhai S. Rao,Vineet Varma,1
Abhai S. Rao,Nick Haulkoury,1
Dr Ramesh Ayyala,Satya Muthyala,1
Cao Yibin,Huang Wei,1
Cao Yibin,Madhusudan E,1
Huang Wei,Madhusudan E,1
Unicorn India Ventures,Venky Krishnakumar,1
Suresh Shankar,Unicorn India Ventures,1
Unicorn India Ventures,Vivek Bhargava,1
Suresh Shankar,Venky Krishnakumar,1
Venky Krishnakumar,Vivek Bhargava,1
Suresh Shankar,Vivek Bhargava,1
Real Time Ventures,Venture Catalysts,1
Alfa Capital,Real Time Ventures,1
Green Shots Capital,Real Time Ventures,1
Artha India Ventures,Singularity Holdings,1
Artha India Ventures,Rajan Anandan,1
Artha India Ventures,Girish Mathrubootham,1
Rajan Anandan,Singularity Holdings,1
Girish Mathrubootham,Singularity Holdings,1
Girish Mathrubootham,Rajan Anandan,2
Founders Fund,Nexus Venture Partners,1
Nexus Venture Partners,Omidyar Network,1
NEA,Sequoia India,1
Prime Venture Partners,Sequoia India,1
NEA,Prime Venture Partners,1
Mekin Maheshwari,Nexus Venture Partners,1
Cross Border Angels & Experts,Rajasthan Angel Innovators Network,1
Cross Border Angels & Experts,The Chennai Angels,1
Rajasthan Angel Innovators Network,The Chennai Angels,1
Endiya Partners,Lightspeed India Partners,1
3one4 Capital Advisors LLP,Lightspeed India Partners,1
Lightspeed India Partners,Startupxseed Ventures LLP,1
3one4 Capital Advisors LLP,Endiya Partners,1
Endiya Partners,Startupxseed Ventures LLP,1
3one4 Capital Advisors LLP,Startupxseed Ventures LLP,1
IIFL Seed Ventures,Kae Capital,1
FJ Labs,IIFL Seed Ventures,1
IIFL Seed Ventures,Singularity Ventures,1
GrowX,IIFL Seed Ventures,1
IIFL Seed Ventures,Tracxn Labs,1
Axis Capital,IIFL Seed Ventures,1
FJ Labs,Kae Capital,1
Axis Capital,Kae Capital,1
FJ Labs,Singularity Ventures,1
FJ Labs,GrowX,1
FJ Labs,Tracxn Labs,1
Axis Capital,FJ Labs,1
Axis Capital,Singularity Ventures,1
Axis Capital,GrowX,1
Axis Capital,Tracxn Labs,1
Manipal Education and Medical Group (MEMG),SAR Group,1
Manipal Education and Medical Group (MEMG),The Grover Trust,1
SAR Group,The Grover Trust,1
"Matrix Partners, alcon Edge Capital",UC-RNT Fund,1
DSG Consumer Partners,UC-RNT Fund,1
DSG Consumer Partners,"Matrix Partners, alcon Edge Capital",1
Founder Collective,General Catalyst,1
Bharat Vijay,Mekin Maheshwari,1
Krish Seshadri,Mekin Maheshwari,1
Amar Arsikere,Mekin Maheshwari,1
Bharat Vijay,Krish Seshadri,1
Amar Arsikere,Bharat Vijay,1
Amar Arsikere,Krish Seshadri,1
India Quotient,Kae Capital,2
"IFMR, and MAS Financial Services Ltd",Kae Capital,1
"IFMR, and MAS Financial Services Ltd",India Quotient,1
Kishore Ganji,Mohit Srivastav,1
Mohit Srivastav,Venkat Vallabhaneni,1
Mohit Srivastav,Rajeev Menon,1
Kishore Ganji,Venkat Vallabhaneni,1
Kishore Ganji,Rajeev Menon,1
Rajeev Menon,Venkat Vallabhaneni,1
RB International,Seedfund,1
Alto Partners,Snow Leopard Ventures,1
Anthill Scale Ventures,The Chennai Angels,1
Esvee Technologies Inc,The Chennai Angels,1
Inc95 Consulting,The Chennai Angels,1
Anthill Scale Ventures,Esvee Technologies Inc,1
Anthill Scale Ventures,Inc95 Consulting,1
Esvee Technologies Inc,Inc95 Consulting,1
Aparup Sengupta,Devendra Reddy,1
Kalaari Capital,Udayan Goyal,1
SAP.iO,Unilazer Ventures,1
Abhinav Bindra,Gaurav Marya,1
SAIF Partners,Vy Capital,1
Accel Partner,Vy Capital,1
Bessemer Venture Partners,Vy Capital,1
Accel Partner,SAIF Partners,1
Accel Partner,Bessemer Venture Partners,1
Accel Partners,Nandan Nilekani,3
Falcon Edge Capital,\\xc2\\xa0 Capital Advisers,1
Asuka Holdings,YouWeCan Ventures,1
Asuka Holdings,Beenext,1
Asuka Holdings,Beenos,1
Asuka Holdings,M&S Partners,1
Beenext,YouWeCan Ventures,1
Beenos,YouWeCan Ventures,1
M&S Partners,YouWeCan Ventures,1
Beenext,Beenos,5
Beenext,M&S Partners,1
Beenos,M&S Partners,1
ILearnFinance Academy Pvt. Ltd.,Rainbow Digital Services Pvt. Ltd,1
Indian Angels Network,LetsVenture,1
Ajay Relan,LetsVenture,1
C31 Ventures,Vertex Ventures,1
Prathithi Investment Trust,Trifecta Capital Advisors LLP,1
RNT Capital,Trifecta Capital Advisors LLP,1
Gokul Rajaram,Trifecta Capital Advisors LLP,1
Aditya Agarwal,Trifecta Capital Advisors LLP,1
Ruchi Sanghvi & others,Trifecta Capital Advisors LLP,1
Prathithi Investment Trust,RNT Capital,1
Gokul Rajaram,Prathithi Investment Trust,1
Aditya Agarwal,Prathithi Investment Trust,1
Prathithi Investment Trust,Ruchi Sanghvi & others,1
Gokul Rajaram,RNT Capital,1
Aditya Agarwal,RNT Capital,1
RNT Capital,Ruchi Sanghvi & others,1
Aditya Agarwal,Gokul Rajaram,1
Gokul Rajaram,Ruchi Sanghvi & others,1
Aditya Agarwal,Ruchi Sanghvi & others,1
GVFL,Unicorn India Ventures,1
Jonathan Boutelle,Vellayan Subbiah,1
Rajan Anandan,Vellayan Subbiah,1
Vellayan Subbiah,\\xc2\\xa0 Rahul Chawla,1
Salil Donde,Vellayan Subbiah,1
Amit Ranjan,Vellayan Subbiah,1
Govind Rajan & Others,Vellayan Subbiah,1
Jonathan Boutelle,Rajan Anandan,1
Jonathan Boutelle,\\xc2\\xa0 Rahul Chawla,1
Jonathan Boutelle,Salil Donde,1
Amit Ranjan,Jonathan Boutelle,1
Govind Rajan & Others,Jonathan Boutelle,1
Rajan Anandan,\\xc2\\xa0 Rahul Chawla,1
Rajan Anandan,Salil Donde,1
Amit Ranjan,Rajan Anandan,3
Govind Rajan & Others,Rajan Anandan,1
Salil Donde,\\xc2\\xa0 Rahul Chawla,1
Amit Ranjan,\\xc2\\xa0 Rahul Chawla,1
Govind Rajan & Others,\\xc2\\xa0 Rahul Chawla,1
Amit Ranjan,Salil Donde,1
Govind Rajan & Others,Salil Donde,1
Amit Ranjan,Govind Rajan & Others,1
GVFL,Times Internet,1
Surojit Chatterjee,Varsha Rao,1
Nirav Choksi & Others,Varsha Rao,1
Nirav Choksi & Others,Surojit Chatterjee,1
DG Ventures India,Dewan Housing Finance Corp,1
Aakrit Vaish,Swapan Rajdev,1
Aakrit Vaish,Sushill Jiwarajka,1
Sushill Jiwarajka,Swapan Rajdev,1
CCavenue,Infibeam,1
Abu Farhan Azmi,Ayesha Takia Azmi,1
Dheeraj Pandey,Rajesh Yohannan,1
Akash Garg,Dheeraj Pandey,1
Akash Garg,Rajesh Yohannan,1
Ankur Capital,Hyderabad Angels,1
1Crowd,JLL,1
Lightspeed Venture Partners,Vy Capital,1
Nandan Nilekani,Ratan Tata,1
Ratan Tata,Uday Kotak,1
Ratan Tata,Vijay Shekhar Sharma,1
Kiran Mazumdar-Shaw,Ratan Tata,1
Rajiv C Mody,Ratan Tata,1
Nandan Nilekani,Uday Kotak,1
Nandan Nilekani,Vijay Shekhar Sharma,1
Kiran Mazumdar-Shaw,Nandan Nilekani,1
Nandan Nilekani,Rajiv C Mody,1
Uday Kotak,Vijay Shekhar Sharma,1
Kiran Mazumdar-Shaw,Uday Kotak,1
Rajiv C Mody,Uday Kotak,1
Kiran Mazumdar-Shaw,Vijay Shekhar Sharma,1
Rajiv C Mody,Vijay Shekhar Sharma,1
Kiran Mazumdar-Shaw,Rajiv C Mody,1
PV Sahad,Sandeep Shroff,1
PV Sahad,Rahul Gupta,1
Rahul Gupta,Sandeep Shroff,1
Great Oaks Ventures,Soma Capital,1
122 West Ventures,Soma Capital,1
122 West Ventures,Great Oaks Ventures,1
Accel India,Nasper,1
Nasper,SAIF Partners,1
Bessemer Venture Partners,Nasper,1
Harmony Partners,Nasper,1
Nasper,Norwest Venture Partners,1
Accel India,SAIF Partners,1
Accel India,Bessemer Venture Partners,1
Accel India,Harmony Partners,1
Accel India,Norwest Venture Partners,2
Harmony Partners,SAIF Partners,1
Norwest Venture Partners,SAIF Partners,2
Bessemer Venture Partners,Harmony Partners,1
Bessemer Venture Partners,Norwest Venture Partners,1
Harmony Partners,Norwest Venture Partners,1
Lightspeed India Partners,Waterbridge Ventures,1
Florintree Advisors,Mathew Cyriac,1
Helion Venture Partners,Stellaris Venture Partners,1
Powerhouse Ventures,Stellaris Venture Partners,1
Gokul Rajaram,Stellaris Venture Partners,1
Girish Mathrubootham,Stellaris Venture Partners,1
Aneesh Reddy,Stellaris Venture Partners,1
Stellaris Venture Partners,Vispi Daver,1
Helion Venture Partners,Powerhouse Ventures,1
Gokul Rajaram,Helion Venture Partners,1
Girish Mathrubootham,Helion Venture Partners,1
Aneesh Reddy,Helion Venture Partners,1
Helion Venture Partners,Vispi Daver,1
Gokul Rajaram,Powerhouse Ventures,1
Girish Mathrubootham,Powerhouse Ventures,1
Aneesh Reddy,Powerhouse Ventures,1
Powerhouse Ventures,Vispi Daver,1
Girish Mathrubootham,Gokul Rajaram,1
Aneesh Reddy,Gokul Rajaram,1
Gokul Rajaram,Vispi Daver,1
Aneesh Reddy,Girish Mathrubootham,1
Girish Mathrubootham,Vispi Daver,1
Aneesh Reddy,Vispi Daver,1
Kalaari Capital,Norwest Venture Partners,2
Keyur Joshi,Pavan Bakeri,1
Koen Bouwers,Lomesh Agarwal,1
Jeroen Mensen,Koen Bouwers,1
Koen Bouwers,Pablo van den Bosch & Others,1
Jeroen Mensen,Lomesh Agarwal,1
Lomesh Agarwal,Pablo van den Bosch & Others,1
Jeroen Mensen,Pablo van den Bosch & Others,1
Deepak Kulkarni,Sandeep Pangal,1
Blume Ventures,FreakOut Group,1
FreakOut Group,Herb Madan,1
FreakOut Group,WaterBridge Ventures,1
Blume Ventures,Herb Madan,1
Blume Ventures,WaterBridge Ventures,1
Herb Madan,WaterBridge Ventures,1
Eight Roads Ventures,Mahindra Partners,1
F-Prime Capital Partners,Mahindra Partners,1
Eight Roads Ventures,F-Prime Capital Partners,2
Accel Partners,Shunwei Capital,1
Farhaan Shabbir,Ishwar Singh,1
Bessemer Venture Partners,Orios Venture Partners,1
Bessemer Venture Partners,Trifecta Capital,1
Orios Venture Partners,Trifecta Capital,1
Blume Ventures,Lightspeed India Partners,1
CyberAgent Ventures,Lightspeed India Partners,1
GrowX Ventures,Lightspeed India Partners,1
IMJ Investment Partners,Lightspeed India Partners,1
Blume Ventures,CyberAgent Ventures,1
Blume Ventures,GrowX Ventures,1
Blume Ventures,IMJ Investment Partners,1
CyberAgent Ventures,GrowX Ventures,1
CyberAgent Ventures,IMJ Investment Partners,1
GrowX Ventures,IMJ Investment Partners,1
L.D Sharma,Rajan Anandan,1
Rajan Anandan,Saurabh Arora,1
L.D Sharma,Saurabh Arora,1
Accel Partners,Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust,1
Accel Partners,Mistletoe,1
Accel Partners,Qualcomm Ventures,4
Accel Partners,M&S Partners,2
Mistletoe,Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust,1
Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust,Qualcomm Ventures,1
M&S Partners,Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust,1
Mistletoe,Qualcomm Ventures,1
M&S Partners,Mistletoe,2
M&S Partners,Qualcomm Ventures,2
Sandeep Singh,Sushil Kumar,1
Ivycap Ventures Advisors,Singularity Ventures and Ravi Dhariwal,1
Mayfield,Nishant Rao,1
Dileep Nath,Mayfield,1
Dileep Nath,Nishant Rao,1
DHI Group Inc,Prime Venture Partners,1
Beenext,DHI Group Inc,1
Beenos,DHI Group Inc,1
DHI Group Inc,Digital Garage,1
BizReach,DHI Group Inc,1
Beenext,Prime Venture Partners,1
Beenos,Prime Venture Partners,1
Digital Garage,Prime Venture Partners,1
BizReach,Prime Venture Partners,1
Beenext,Digital Garage,4
Beenext,BizReach,1
Beenos,Digital Garage,4
Beenos,BizReach,1
BizReach,Digital Garage,1
Blume Ventures,Contrarian Capital,1
91springboard,Blume Ventures,1
Blume Ventures,Emergent Ventures,1
Abstract Ventures,Blume Ventures,1
Anthill Ventures,Blume Ventures,1
Axilor Ventures,Blume Ventures,1
91springboard,Contrarian Capital,1
Contrarian Capital,Emergent Ventures,1
Abstract Ventures,Contrarian Capital,1
Anthill Ventures,Contrarian Capital,1
Axilor Ventures,Contrarian Capital,1
91springboard,Emergent Ventures,1
91springboard,Abstract Ventures,1
91springboard,Anthill Ventures,1
91springboard,Axilor Ventures,1
Abstract Ventures,Emergent Ventures,1
Anthill Ventures,Emergent Ventures,1
Axilor Ventures,Emergent Ventures,2
Abstract Ventures,Anthill Ventures,1
Abstract Ventures,Axilor Ventures,1
Anthill Ventures,Axilor Ventures,1
MAPE Advisory Group,R Ramaraj,1
Corvus Ventures,R Ramaraj,1
Mountain Pine Capital,Tolaram Inc,1
Anandbir Singh,Nibhrant Shah,1
Anirudh Sheth,Nibhrant Shah,1
Nibhrant Shah,Pratik Singhi,1
Nibhrant Shah,Vikram Mehta,1
Murali Nair,Nibhrant Shah,1
Anandbir Singh,Anirudh Sheth,1
Anandbir Singh,Pratik Singhi,1
Anandbir Singh,Vikram Mehta,1
Anandbir Singh,Murali Nair,1
Anirudh Sheth,Pratik Singhi,1
Anirudh Sheth,Vikram Mehta,1
Anirudh Sheth,Murali Nair,1
Pratik Singhi,Vikram Mehta,1
Murali Nair,Pratik Singhi,1
Murali Nair,Vikram Mehta,1
Gaurav Kachru,Sundeep Singh Sahni,1
Gaurav Kachru,Jatin Aneja,1
Arun Malhotra,Gaurav Kachru,1
Jatin Aneja,Sundeep Singh Sahni,1
Arun Malhotra,Sundeep Singh Sahni,1
Arun Malhotra,Jatin Aneja,1
Kalaari Capital,SIDBI Venture Capital Ltd,1
Ravi Garikipati,Surot Chatterjee,1
Ashish Agrawal,Ravi Garikipati,1
LG Chandrasekhar,Ravi Garikipati,1
Ravi Garikipati,Sashi Reddi,1
Ashish Agrawal,Surot Chatterjee,1
LG Chandrasekhar,Surot Chatterjee,1
Sashi Reddi,Surot Chatterjee,1
Ashish Agrawal,LG Chandrasekhar,1
Ashish Agrawal,Sashi Reddi,1
LG Chandrasekhar,Sashi Reddi,1
Lightbox Expansion Fund,Ligthbox Ventures II,1
Ligthbox Ventures II,Sequoia Capital India,1
Ligthbox Ventures II,RuNet South Asia,1
Ligthbox Ventures II,RB Investments,1
Lightbox Expansion Fund,Sequoia Capital India,1
Lightbox Expansion Fund,RuNet South Asia,1
Lightbox Expansion Fund,RB Investments,1
RuNet South Asia,Sequoia Capital India,1
RB Investments,Sequoia Capital India,1
RB Investments,RuNet South Asia,1
Lightspeed Venture Partners,SoftBank Vision Fund,1
Sequoia Capital India Advisors,SoftBank Vision Fund,1
Greenoaks Capital Partners,SoftBank Vision Fund,1
Lightspeed Venture Partners,Sequoia Capital India Advisors,1
Greenoaks Capital Partners,Lightspeed Venture Partners,1
Greenoaks Capital Partners,Sequoia Capital India Advisors,1
Axilor Ventures,pi Ventures,1
500 Startups,pi Ventures,1
Binny Bansal,pi Ventures,1
500 Startups,Axilor Ventures,1
Axilor Ventures,Binny Bansal,1
500 Startups,Binny Bansal,1
Aditya Verma,Arun Tadanki,1
Matrix Partners,Times Internet,1
Orios Ventures Partners,Team Builder Ventures,1
Omidyar Networks,Orios Ventures Partners,1
Omidyar Networks,Team Builder Ventures,1
Agnus Capital,Khattar Holdings,1
Augment Ventures,Calcutta Angels Network (CAN),1
Harsh Kundra,Vishwadeep Bajaj,1
Nandkumar Rane,Vishwadeep Bajaj,1
LN Buddharaju,Vishwadeep Bajaj,1
Anupam Tyagi,Vishwadeep Bajaj,1
Harsh Kundra,Nandkumar Rane,1
Harsh Kundra,LN Buddharaju,1
Anupam Tyagi,Harsh Kundra,1
LN Buddharaju,Nandkumar Rane,1
Anupam Tyagi,Nandkumar Rane,1
Anupam Tyagi,LN Buddharaju,1
F-Prime Capital Partners,Ventureast,1
Endiya Partners,F-Prime Capital Partners,1
Chandigarh Angels Network,Social Alpha and other unnamed angel investors,1
Bhupen Shah,Jayesh Parekh,1
Bhupen Shah,Sanjay Sathe,1
Jayesh Parekh,Sanjay Sathe,1
Gautam Chhaochharia,Sandeep Aggarwal,1
R Balachandar,Sandeep Aggarwal,1
Gautam Chhaochharia,R Balachandar,1
Bennett,Coleman and Company Ltd,2
Aneesh Seth,Tushar Mittal,1
IDG Ventures India,Michael & Susan Dell Foundation,1
Draper Associates,IDG Ventures India,1
IDG Ventures India,Unitus Seed Fund,1
Draper Associates,Michael & Susan Dell Foundation,1
Michael & Susan Dell Foundation,Unitus Seed Fund,2
Draper Associates,Unitus Seed Fund,1
Axilor Ventures,IDG ventures,1
Emergent Ventures,IDG ventures,1
IDG ventures,Indian Angel Network,1
Axilor Ventures,Indian Angel Network,2
Emergent Ventures,Indian Angel Network,1
Kae Capital,SEGNEL Ventures,1
Asuka,Pravega Ventures,1
Asuka,BEENEXT,1
BEENEXT,Pravega Ventures,1
Florintree,Mathew Cyriac,1
Chidambaram Palaniappan,Florintree,1
Bharat Sheth,Florintree,1
Chidambaram Palaniappan,Mathew Cyriac,1
Bharat Sheth,Mathew Cyriac,1
Bharat Sheth,Chidambaram Palaniappan,1
Blume Ventures,IDG Ventures,1
IDG Ventures,Saha Fund,1
Blume Ventures,Saha Fund,1
Nimitt Desai & Others,Puneet Gupta,1
GREE Ventures,Kalaari Capital and IDG Ventures India,1
GREE Ventures,Summit Media,1
"Atul Goel, and Gurpreet Singh",GREE Ventures,1
Kalaari Capital and IDG Ventures India,Summit Media,1
"Atul Goel, and Gurpreet Singh",Kalaari Capital and IDG Ventures India,1
"Atul Goel, and Gurpreet Singh",Summit Media,1
Bhupender Singh,Sujeet Kumar,1
Sujeet Kumar,Yashish Dhaiya,1
Bhupender Singh,Yashish Dhaiya,1
"Microsoft, eBay",Tencent Holdings,1
Kalaari Capital,Rakesh and Rajesh Jhunjhunwala,1
Nandu Nandkishore,Shripad Nadkarni,1
Ravi Saxena,Sandeep Raju,1
Kinzon Capital,Sequoia Capital,1
FTV Capital,Zodius Capital,1
Mahavir Sharma,Vishal Jain,1
Mahavir Sharma,Rohit Sethi,1
Gaurav Luniya,Mahavir Sharma,1
Rohit Sethi,Vishal Jain,1
Gaurav Luniya,Vishal Jain,1
Gaurav Luniya,Rohit Sethi,1
Carlyle Group,Tiger Global,1
Amit Kharbanda,Vikas Bajaj,1
Ankit Gupta,Puneet Motihar,1
3one4 Capital,Mayfield India,1
Mayfield India,Sistema Asia Fund,1
Mayfield India,Neoplux Technology Fund,1
3one4 Capital,Sistema Asia Fund,1
3one4 Capital,Neoplux Technology Fund,1
Neoplux Technology Fund,Sistema Asia Fund,1
Hemant Kaul,Vinod Martin,1
Prof. Ram Kumar Kakani & Others,Vinod Martin,1
Hemant Kaul,Prof. Ram Kumar Kakani & Others,1
JSW Ventures,VenturEast,1
Meher Roy,Nikhil Arora,1
Meet Kanodia,Meher Roy,1
Krit Sankalp,Meher Roy,1
Meher Roy,Nitish Singh,1
Meher Roy,Risabh Gupta,1
Meet Kanodia,Nikhil Arora,1
Krit Sankalp,Nikhil Arora,1
Nikhil Arora,Nitish Singh,1
Nikhil Arora,Risabh Gupta,1
Krit Sankalp,Meet Kanodia,1
Meet Kanodia,Nitish Singh,1
Meet Kanodia,Risabh Gupta,1
Krit Sankalp,Nitish Singh,1
Krit Sankalp,Risabh Gupta,1
Nitish Singh,Risabh Gupta,1
Malini Patel,Stelcore Management Services,1
Anjani Prasad,Malini Patel,1
Anjani Prasad,Stelcore Management Services,1
LetsVenture,Satveer Thakral,1
Mumbai Angels,Satveer Thakral,1
LetsVenture,Mumbai Angels,4
B Capital Group,Ignition Partners,1
B Capital Group,"Greycroft, e.ventures",1
B Capital Group,\\xc2\\xa0 Eight Roads Ventures,1
"Greycroft, e.ventures",Ignition Partners,1
Ignition Partners,\\xc2\\xa0 Eight Roads Ventures,1
"Greycroft, e.ventures",\\xc2\\xa0 Eight Roads Ventures,1
Gyanendra Singh,Satya D Sinha,1
Batlivala & Karani Securities,Venture Works,1
RB Investments,SAIF Partners,1
Bessemer Venture Partners,RB Investments,1
Blume Ventures,pi Ventures,1
Japan Vyas,Tarun Adlakha,1
Amereus Group,Sistema Asia Fund,1
Helion Ventures,Sistema Asia Fund,1
Amereus Group,Helion Ventures,1
Accel Partners,Axilor Partners,1
"Endiya Partners, pi Ventures",IDG Ventures,1
IDG Ventures,VH Capital,1
Axilor Partners,IDG Ventures,1
Axilor Partners,"Endiya Partners, pi Ventures",1
Axilor Partners,VH Capital,1
Lumis Partners,Vertex Ventures,1
Goldman Sachs,Kleiner Perkins,1
Kleiner Perkins,Pine Brook,1
Goldman Sachs,Pine Brook,1
Girish Mathrubootham,Mahalingam K,1
Rajan Anandan,Vijay Shekhar Sharma,1
Kunal Shah,Vijay Shekhar Sharma,2
Girish Mathrubootham,Vijay Shekhar Sharma,1
Punit Soni,Vijay Shekhar Sharma,1
Anand Chandrasekaran,Vijay Shekhar Sharma,1
Sunil Kalra,Vijay Shekhar Sharma,1
Utsav Somani,Vijay Shekhar Sharma,1
Vijay Shekhar Sharma,Vishal Gondal,3
Vijay Shekhar Sharma,Vikram Limaye,1
Kunal Shah,Rajan Anandan,1
Punit Soni,Rajan Anandan,1
Anand Chandrasekaran,Rajan Anandan,1
Rajan Anandan,Utsav Somani,1
Rajan Anandan,Vishal Gondal,1
Rajan Anandan,Vikram Limaye,1
Girish Mathrubootham,Kunal Shah,1
Kunal Shah,Punit Soni,1
Anand Chandrasekaran,Kunal Shah,1
Kunal Shah,Sunil Kalra,1
Kunal Shah,Utsav Somani,1
Kunal Shah,Vishal Gondal,2
Kunal Shah,Vikram Limaye,1
Girish Mathrubootham,Punit Soni,1
Anand Chandrasekaran,Girish Mathrubootham,2
Girish Mathrubootham,Sunil Kalra,1
Girish Mathrubootham,Utsav Somani,1
Girish Mathrubootham,Vishal Gondal,1
Girish Mathrubootham,Vikram Limaye,1
Anand Chandrasekaran,Punit Soni,1
Punit Soni,Sunil Kalra,1
Punit Soni,Utsav Somani,1
Punit Soni,Vishal Gondal,1
Punit Soni,Vikram Limaye,1
Anand Chandrasekaran,Sunil Kalra,1
Anand Chandrasekaran,Utsav Somani,1
Anand Chandrasekaran,Vishal Gondal,1
Anand Chandrasekaran,Vikram Limaye,1
Sunil Kalra,Utsav Somani,1
Sunil Kalra,Vishal Gondal,1
Sunil Kalra,Vikram Limaye,1
Utsav Somani,Vishal Gondal,1
Utsav Somani,Vikram Limaye,1
Vikram Limaye,Vishal Gondal,1
PayU,Ribbit Capital,1
Omidyar Network,PayU,1
Omidyar Network,Ribbit Capital,1
Kalaari Capital Partners,Qualcomm,1
3ONE4 Capital Advisors,Kalaari Capital Partners,1
Kalaari Capital Partners,UC-RNT,1
3ONE4 Capital Advisors,Qualcomm,1
Qualcomm,UC-RNT,1
3ONE4 Capital Advisors,UC-RNT,1
Aprameya Radhakrishna,Deepak Natraj,1
Aprameya Radhakrishna,Girish Mathrubootham,2
Aprameya Radhakrishna,Mahesh Murthy,1
Aprameya Radhakrishna,Pallav Nadhani,1
Aprameya Radhakrishna,Pavan Ongole,2
Aprameya Radhakrishna,Sandeep Mathur,1
Aprameya Radhakrishna,Vijay Shekhar Sharma & Others,1
Deepak Natraj,Girish Mathrubootham,1
Deepak Natraj,Mahesh Murthy,1
Deepak Natraj,Pallav Nadhani,1
Deepak Natraj,Pavan Ongole,1
Deepak Natraj,Sandeep Mathur,1
Deepak Natraj,Vijay Shekhar Sharma & Others,1
Girish Mathrubootham,Mahesh Murthy,1
Girish Mathrubootham,Pallav Nadhani,1
Girish Mathrubootham,Pavan Ongole,1
Girish Mathrubootham,Sandeep Mathur,1
Girish Mathrubootham,Vijay Shekhar Sharma & Others,1
Mahesh Murthy,Pallav Nadhani,1
Mahesh Murthy,Pavan Ongole,1
Mahesh Murthy,Sandeep Mathur,1
Mahesh Murthy,Vijay Shekhar Sharma & Others,1
Pallav Nadhani,Pavan Ongole,1
Pallav Nadhani,Sandeep Mathur,1
Pallav Nadhani,Vijay Shekhar Sharma & Others,1
Pavan Ongole,Sandeep Mathur,1
Pavan Ongole,Vijay Shekhar Sharma & Others,1
Sandeep Mathur,Vijay Shekhar Sharma & Others,1
Kalaari Capital,SAIF Partners,3
Kalaari Capital,Steadview Capital,2
Kalaari Capital,Sequoia Capital,3
SAIF Partners,Steadview Capital,2
SAIF Partners,Sequoia Capital,5
Sequoia Capital,Steadview Capital,2
Konglo Ventures,White Unicorn Ventures,1
Konglo Ventures,LetsVenture,1
LetsVenture,White Unicorn Ventures,1
Bennett,Coleman and Co. Ltd (BCCL),1
IMM Investment,Softbank Ventures Korea,1
BEENEXT,Indian Angel Network (IAN),1
Indian Angel Network (IAN),The Chennai Angels,1
Indian Angel Network (IAN),Sunil Munjal,1
BEENEXT,The Chennai Angels,1
BEENEXT,Sunil Munjal,1
Sunil Munjal,The Chennai Angels,1
Kunal Shah,Nitin Saluja,1
Gagan Goyal,Kunal Shah,1
Nitin Saluja,Sandeep Tandon,1
Gagan Goyal,Sandeep Tandon,1
Gagan Goyal,Nitin Saluja,1
Pankaj Rungta,Yogesh Agarwal,1
Ashish Gupta,Chandigarh Angels,1
Chandigarh Angels,Rohit,1
Ashish Chand,Chandigarh Angels,1
Chandigarh Angels,Sunil Singh & Others,1
Ashish Gupta,Rohit,1
Ashish Chand,Ashish Gupta,1
Ashish Gupta,Sunil Singh & Others,1
Ashish Chand,Rohit,1
Rohit,Sunil Singh & Others,1
Ashish Chand,Sunil Singh & Others,1
Brand Capital,Paragon Trust,1
IFC,Sands Capital,1
Accel Partners,Sands Capital,1
Flipkart,Sands Capital,1
Sands Capital,Sanjiv Rangrass,1
Accel Partners,IFC,1
Flipkart,IFC,1
IFC,Sanjiv Rangrass,1
Accel Partners,Flipkart,4
Accel Partners,Sanjiv Rangrass,1
Flipkart,Sanjiv Rangrass,1
TV Mohandas Pai,V Balakrishnan,1
PV Srinivasan,TV Mohandas Pai,1
PV Srinivasan,V Balakrishnan,1
Anand Chandrasekaran,Rajiv Mehta,1
Anand Chandrasekaran,Ramakant Sharma,1
Rajiv Mehta,Ramakant Sharma,1
Marico Innovation Foundation (MIF),Villgro,1
India Nivesh Growth Fund,Sixth Sense,1
India Nivesh Growth Fund,TCI Ventures,1
Sixth Sense,TCI Ventures,1
Mayfield India,Trifecta Capital,1
Vedanta Capital,William Campbell,1
Toos N Daruvala,Vedanta Capital,1
Toos N Daruvala,William Campbell,1
Evan Lim,Vinod Martin,1
Kanchan Ghoshal,Vinod Martin,1
Ram Kumar Kakani,Vinod Martin,1
Evan Lim,Kanchan Ghoshal,1
Evan Lim,Ram Kumar Kakani,1
Kanchan Ghoshal,Ram Kumar Kakani,1
Karan Chellani,Zishaan Hayath,1
