name,totalInvested,dealCount
Amazon Inc. and Mastercard,8000000.0,1
Amazon-Patni JV,18840000.0,1
Ambarish Gupta,350000.0,2
Ambarish Ray,168000.0,1
Ambi Parameswaran,0.0,0
Ambiga Dhiraj,0.0,0
Ambit Pragma,0.0,0
Ameera Shah,497000.0,3
Amen Dhyllon,0.0,0
Amereus Group,8000000.0,1
American Express,25000000.0,1
American Express Ventures,4000000.0,1
Amicus Capital,9200000.0,1
Amit Agrawal,0.0,0
Amit Banati,0.0,0
Amit Banka,0.0,0
Amit Burman,3000000.0,1
Amit Choudhary,0.0,0
Amit Dey,100000.0,1
Amit Gupta,2020000.0,6
Amit Jindal,1000000.0,1
Amit Khanna,1000000.0,1
Amit Khanna (LetsVenture),0.0,0
Amit Kharbanda,0.0,0
Amit Manocha,0.0,0
Amit Manocha and others,250000.0,1
Amit Nagar,450000.0,1
Amit Nanavati,1000000.0,1
Amit Patni,1039000.0,2
Amit Rambhia & Others,0.0,0
Amit Ranjan,920000.0,3
Amit Ranjan & others,500000.0,1
Amit Rathore,0.0,0
Amit Sandill,0.0,0
Amit Singal,175000.0,1
Amit Singhal,450000.0,1
Amit Singhal and Unitus Seed Fund,3000000.0,1
Amit Sinha,350000.0,1
Amit Tyagi,165000.0,1
Amitpal Bhutani,0.0,0
Amiya Pathak,1000000.0,1
Amod Malviya,0.0,0
Amour Infrastructure,220000000.0,1
Amrendra Reddy and Manish Satnaliwala.,0.0,0
Amrish Kumar,1000000.0,1
Amrish Rau,0.0,0
Anand Chandrasekaran,3250000.0,2
Anand Chandrasekaran & Others,0.0,0
Anand Kumar,0.0,0
Anand Ladsariya,550000.0,2
Anand Mahindra,800000.0,2
Anand Mittal,0.0,0
Anand Rajaraman,1200000.0,1
Anand Sankeshwar,963000.0,1
Anand Singh,0.0,0
Anand Vijay,200000.0,2
Ananda Kallugadde,3700000.0,2
Anandbir Singh,175000.0,1
Ananth Narayanan,250000.0,1
Anbu Pandian,150000.0,1
Andre Hoffman,10000000.0,1
Aneesh Reddy,4740000.0,4
Aneesh Reddy & Teruhide Sato,0.0,0
Aneesh Seth,150000.0,1
AngelList,280000.0,1
AngelPrime,4000000.0,3
Angie Mahtaney,0.0,0
Anglian Omega Network,350000.0,1
Anicut Capital,14650000.0,2
Anil Advani,0.0,0
Anil Chopra,0.0,0
Anil Gelra,0.0,0
Anil Jaggia,15000000.0,1
Anil Jain,0.0,0
Anil Jain & other HNIs,3200000.0,1
Anil Kapoor,0.0,0
