roundId,startupName,investmentType,amountUSD,date,year
round_136,HealthifyMe,Series B,6000000.0,2018-11-20,2018
round_137,Genius Corner,Seed,278000.0,2018-11-21,2018
round_138,Aavishkaar-Intellecap Group,Equity,31000000.0,2018-11-22,2018
round_139,Skillbox,Seed,,2018-11-22,2018
round_140,Signzy,Series A,3400000.0,2018-11-23,2018
round_141,Engineer.ai,Series A,29500000.0,2018-11-24,2018
round_142,InCred Finance,Private Equity,42000000.0,2018-11-25,2018
round_143,Roposo,Series B,1700000.0,2018-11-25,2018
round_144,Northmist,Seed / Angel,,2018-10-01,2018
round_145,Origo Commodities India Pvt. Ltd,Seed / Angel,11000000.0,2018-10-02,2018
round_146,Grover Zampa,Private Equity,8200000.0,2018-10-04,2018
round_147,Droom,Series E,3000000.0,2018-10-05,2018
round_148,Innov8,Pre-Series A,4000000.0,2018-10-11,2018
round_149,Blackbuck,Other,14680000.0,2018-10-12,2018
round_150,LetsTransport,Series C,12000000.0,2018-10-12,2018
round_151,Netmeds,Private Equity,35000000.0,2018-09-01,2018
round_152,Udaan,Private Equity,225000000.0,2018-09-03,2018
round_153,Daily hunt,Private Equity,6390000.0,2018-09-03,2018
round_154,3HCare,Seed / Angel,1000000.0,2018-09-04,2018
round_155,HappyGoEasy,Private Equity,,2018-09-04,2018
round_156,Nykaa,Private Equity,157200000.0,2018-09-05,2018
round_157,Mad Street Den,Private Equity,,2018-09-05,2018
round_158,Dream11,Private Equity,100000000.0,2018-09-06,2018
round_159,MamaEarth,Private Equity,4000000.0,2018-09-10,2018
round_160,AutoGrid,Private Equity,32000000.0,2018-09-11,2018
round_161,Pharmeasy,Debt,5500000.0,2018-09-11,2018
round_162,Upwards,Private Equity,5000000.0,2018-09-11,2018
round_163,Kissht,Private Equity,30000000.0,2018-09-12,2018
round_164,dishq,Seed / Angel,400000.0,2018-08-01,2018
round_165,HealthFin,Seed / Angel,,2018-08-01,2018
round_166,Samosa Labs,Private Equity,7000000.0,2018-08-02,2018
round_167,ZiffyHomes,Private Equity,120000.0,2018-08-03,2018
round_168,My OmNamo,Seed / Angel,1000000.0,2018-08-07,2018
round_169,ShopX,Private Equity,35000000.0,2018-08-07,2018
round_170,MakeMyTrip,Private Equity,10000000.0,2018-08-07,2018
round_171,Hansel io,Seed / Angel,4000000.0,2018-08-08,2018
round_172,Metro Bikes,Private Equity,12200000.0,2018-08-08,2018
round_173,Phone Pe,Private Equity,66000000.0,2018-08-08,2018
round_174,quizizz,Seed / Angel,3000000.0,2018-08-09,2018
round_175,Happy EMI,Seed / Angel,1000000.0,2018-08-09,2018
round_176,Inthree,Seed / Angel,4000000.0,2018-08-13,2018
round_177,Observe AI,Private Equity,8000000.0,2018-08-13,2018
round_178,Enakshi,Seed / Angel,114811.0,2018-08-16,2018
round_179,EazyDiner,Private Equity,5850000.0,2018-08-17,2018
round_180,Finzy,Seed / Angel,1000000.0,2018-08-20,2018
round_181,RawPressery,Debt,4800000.0,2018-08-20,2018
round_182,Pi Ventures,Private Equity,6000000.0,2018-08-22,2018
round_183,Revv,Private Equity,14270000.0,2018-08-22,2018
round_184,ZestMoney,Private Equity,13400000.0,2018-08-26,2018
round_185,Shubh Loans,Private Equity,4200000.0,2018-08-26,2018
round_186,MyUpchar,Private Equity,5000000.0,2018-08-27,2018
round_187,Narvar,Private Equity,3000000.0,2018-08-28,2018
round_188,True North,Private Equity,600000000.0,2018-08-30,2018
round_189,Leena AI,Seed / Angel,,2018-07-01,2018
round_190,Biryani By Kilo,Seed / Angel,1000000.0,2018-07-02,2018
round_191,Anchanto,Private Equity,4000000.0,2018-07-04,2018
round_192,Loan Tap,Private Equity,6250000.0,,
round_193,PolicyBazaar,Private Equity,27700000.0,2018-07-06,2018
round_194,zippserv,Seed / Angel,440000.0,2018-07-09,2018
round_195,Groww,Seed / Angel,1100000.0,2018-07-09,2018
round_196,Avenue Growth,Seed / Angel,437000.0,2018-07-10,2018
round_197,iNICU,Seed / Angel,,2018-07-10,2018
round_198,Kinara Capital,Private Equity,5000000.0,2018-07-10,2018
round_199,Shop 101,Private Equity,5000000.0,2018-07-10,2018
round_200,Sambandh,Private Equity,2500000.0,2018-07-11,2018
round_201,19th mile,Seed / Angel,180000.0,2018-07-12,2018
round_202,5th Vital,Seed / Angel,500000.0,2018-07-12,2018
round_203,MEngage,Seed / Angel,175000.0,2018-07-13,2018
round_204,Ofbusiness,Private Equity,29000000.0,2018-07-17,2018
round_205,Cars24,Private Equity,49700000.0,2018-07-17,2018
round_206,The Ken,Seed / Angel,1500000.0,2018-07-18,2018
round_207,Book My Show,Private Equity,100000000.0,2018-07-19,2018
round_208,HousingMan,Seed / Angel,1500000.0,2018-07-20,2018
round_209,PaySense,Private Equity,18000000.0,2018-07-21,2018
round_210,Yulu Bikes,Seed / Angel,,2018-07-23,2018
round_211,VTION,Seed / Angel,280000.0,2018-07-23,2018
round_212,Log9 Materials,Seed / Angel,436000.0,2018-07-23,2018
round_213,kidovators,Seed / Angel,180000.0,2018-07-24,2018
round_214,Digit,Private Equity,45000000.0,2018-07-24,2018
round_215,Black Soil,Private Equity,17000000.0,2018-07-25,2018
round_216,Trell,Seed / Angel,1250000.0,2018-07-25,2018
round_217,iqlect,Seed / Angel,2500000.0,2018-07-25,2018
round_218,Entropik,Seed / Angel,1100000.0,2018-07-26,2018
round_219,Bitla Software,Private Equity,,2018-07-26,2018
round_220,TheCapitalNet,Private Equity,500000.0,2018-07-26,2018
round_221,Shuttl,Private Equity,11000000.0,2018-07-30,2018
round_222,Cure Fit,Private Equity,120000000.0,2018-07-30,2018
round_223,Five Star Group,Private Equity,100000000.0,2018-07-31,2018
round_224,Healthsignz,Seed / Angel,5000000.0,2018-07-31,2018
round_225,CoinTribe,Private Equity,10000000.0,2018-06-01,2018
round_226,Digiconectt,Seed / Angel,125000.0,2018-06-04,2018
round_227,Kashmir Box,Seed / Angel,,2018-06-04,2018
round_228,Crowdera,Seed / Angel,,2018-06-05,2018
round_229,Zoctr,Seed / Angel,,2018-06-05,2018
round_230,Annapurna Finance,Private Equity,23000000.0,2018-06-07,2018
round_231,Meesho,Private Equity,11500000.0,2018-06-07,2018
round_232,AyeFinance,Private Equity,21500000.0,2018-06-10,2018
round_233,Theranosis,Seed / Angel,,2018-06-11,2018
round_234,Alpha Capital,Private Equity,14800000.0,2018-06-12,2018
round_235,eshakti,Private Equity,10100000.0,2018-06-12,2018
round_236,Daily Ninja,Seed / Angel,3000000.0,2018-06-12,2018
round_237,NirogStreet,Seed / Angel,300000.0,2018-06-13,2018
round_238,Nivesh,Seed / Angel,450000.0,2018-06-13,2018
round_239,What\\xe2\\x80\\x99s Up Life,Seed / Angel,,2018-06-13,2018
round_240,HomeLane,Seed / Angel,3450000.0,2018-06-14,2018
round_241,Network Intelligence,Private Equity,4800000.0,2018-06-14,2018
round_242,Tynor Othontics,Private Equity,21000000.0,2018-06-18,2018
round_243,Elucidata,Seed / Angel,1700000.0,2018-06-18,2018
round_244,Chrysalis,Seed / Angel,,2018-06-19,2018
round_245,RentSher,Seed / Angel,1100000.0,2018-06-19,2018
round_246,Drip capital,Private Equity,15000000.0,2018-06-20,2018
round_247,WickedRide,Private Equity,9100000.0,2018-06-22,2018
round_248,PolicyBazaar,Private Equity,200000000.0,2018-06-25,2018
round_249,HipBar,Private Equity,4000000.0,2018-06-25,2018
round_250,Sqqrl,Seed / Angel,1000000.0,2018-06-25,2018
round_251,Paytm,Private Equity,8950000.0,2018-06-26,2018
round_252,Sigtuple,Private Equity,19000000.0,2018-06-26,2018
