name,industry,subVertical,city,totalRaisedUSD,fundingRounds,firstFunded,lastFunded
Creator\\xe2\\x80\\x99s Gurukul,Consumer Internet & Tech,Co-Working Space Provider,Delhi,0.0,1,2017-07-26,2017-07-26
CredR,E-Commerce,,Mumbai,30000000.0,3,2015-06-01,2015-09-12
CrediHealth,Consumer Internet & Tech,Online Medical Assistance platform,Gurgaon,1500000.0,1,2017-04-17,2017-04-17
Credifiable,Consumer Internet & Tech,Online consumer lending platform,Bangalore,0.0,1,2017-09-26,2017-09-26
Credihealth,Healthtech,,Gurgaon,0.0,1,2015-09-23,2015-09-23
Credit Mate,Consumer Internet & Tech,Vehicle loan approval platform,Mumbai,0.0,1,2017-11-21,2017-11-21
Credit Sudhaar,Consumer Internet & Tech,Credit Score Improvement platform,Mumbai,0.0,1,2017-04-05,2017-04-05
Credit Vidya,Consumer Internet & Tech,Online Credit scoring platform,Mumbai,5000000.0,1,2017-09-07,2017-09-07
CreditMantri,Consumer Internet & Tech,Online Credit score & lending platform,Chennai,10100000.0,2,2015-06-26,2017-03-02
CreditMate,Consumer Internet & Tech,Credit Report Info platform,Mumbai,500000.0,1,2016-10-25,2016-10-25
CreditSeva,Consumer Internet & Tech,Online Credit management tools,Hyderabad,360000.0,1,2016-03-22,2016-03-22
CreditVidya,Consumer Internet & Tech,Credit Scoring Platform,Mumbai,1000000.0,1,2016-06-07,2016-06-07
Credright,Consumer Internet & Tech,Lending Platform For SMEs,Hyderabad,1300000.0,1,2018-05-31,2018-05-31
Credy,Consumer Internet & Tech,SaaS,Bangalore,1400000.0,1,2018-02-28,2018-02-28
CroFarm,Consumer Internet & Tech,Agriculture Supply Chain solutions,Gurgaon,783000.0,1,2017-08-09,2017-08-09
Crofarm,Consumer Internet & Tech,Agri-Tech supply chain Solution provider,Gurgaon,1500000.0,1,2016-08-12,2016-08-12
CropIn,Consumer Internet & Tech,Agriculture Technology Solutions,Bangalore,2000000.0,1,2016-08-30,2016-08-30
Cropin,Consumer Internet & Tech,Crop Technology Solutions,Bangalore,0.0,1,2017-09-25,2017-09-25
Crossahead,Consumer Internet & Tech,Creative Artists Discovery & Booking platform,Noida,0.0,1,2016-11-29,2016-11-29
Crowdera,Fintech,Online Crowdfunding Platform,Nagpur,0.0,1,2018-06-05,2018-06-05
Crowdfire (formerly Justunfollow),,,,2500000.0,1,2015-03-09,2015-03-09
Crown-it,E-Commerce,,Gurgaon,5500000.0,1,2015-05-19,2015-05-19
CrownIt,Consumer Internet & Tech,Cashback Mobile app,Gurgaon,0.0,1,2016-08-26,2016-08-26
Crownit,Consumer Internet & Tech,Mobile customer rewards management platform,Gurgaon,0.0,1,2016-05-17,2016-05-17
Cube Consumer Services,Consumer Internet & Tech,Finance management Mobile app,Mumbai,0.0,1,2017-05-29,2017-05-29
Cube26,Other,,Delhi,7700000.0,1,2015-10-08,2015-10-08
